Passport ID,Sample ID,Class,Country,Gender,Age Group,Angle,Distance Category,Resolution,Camera,Light Condition,Background,Timestamp
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A1_D1,attack,BRA,M,18-30,0°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A1_D2,attack,BRA,M,18-31,0°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A2_D1,attack,BRA,M,18-32,20°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A2_D2,attack,BRA,M,18-33,20°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A3_D1,attack,BRA,M,18-34,45°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B1_A3_D2,attack,BRA,M,18-35,45°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A1_D1,attack,BRA,M,18-36,0°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:05+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A1_D2,attack,BRA,M,18-37,0°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:05+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A2_D1,attack,BRA,M,18-38,20°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A2_D2,attack,BRA,M,18-39,20°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:05+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A3_D1,attack,BRA,M,18-40,45°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:05+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B2_A3_D2,attack,BRA,M,18-41,45°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-09-22T12:59:05+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B3_A1_D1,attack,BRA,M,18-42,0°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B3_A1_D2,attack,BRA,M,18-43,0°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B3_A2_D1,attack,BRA,M,18-44,20°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:59:06+00:00Z
P_BRA_AA000681,P_BRA_AA000681_L1_B3_A2_D2,attack,BRA,M,18-45,20°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-09-22T12:59:06+00:00Z
